,from_domain,from_vocab,from_standard,to_domain,to_vocab,to_standard,relationship,count
0,Condition,CO-CONNECT,,Condition,SNOMED,S,Maps to,11
1,Condition,CO-CONNECT,,Observation,SNOMED,S,Maps to,3
2,Condition,HCPCS,S,Condition,HCPCS,S,Mapped from,1
3,Condition,HCPCS,S,Condition,HCPCS,S,Maps to,1
4,Condition,ICD10,,Condition,ICD10,,Is a,16940
5,Condition,ICD10,,Condition,ICD10,,Subsumes,16940
6,Condition,ICD10,,Condition,OMOP Extension,S,Maps to,4
7,Condition,ICD10,,Condition,SNOMED,S,Maps to,15754
8,Condition,ICD10,,Device,SNOMED,S,Maps to value,2
9,Condition,ICD10,,Measurement,ICD10,,Is a,15
10,Condition,ICD10,,Measurement,ICD10,,Subsumes,26
11,Condition,ICD10,,Measurement,SNOMED,S,Maps to,5
12,Condition,ICD10,,Meas Value,SNOMED,S,Maps to value,6
13,Condition,ICD10,,Observation,ICD10,,Is a,295
14,Condition,ICD10,,Observation,ICD10,,Subsumes,552
15,Condition,ICD10,,Observation,OMOP Extension,S,Maps to,1
16,Condition,ICD10,,Observation,SNOMED,S,Maps to,52
17,Condition,ICD10,,Procedure,ICD10,,Is a,13
18,Condition,ICD10,,Procedure,ICD10,,Subsumes,33
19,Condition,ICD10CM,,Condition,ICD10CM,,Is a,255708
20,Condition,ICD10CM,,Condition,ICD10CM,,Subsumes,255708
21,Condition,ICD10CM,,Condition,OMOP Extension,S,Maps to,3
22,Condition,ICD10CM,,Condition,SNOMED,S,Maps to,111791
23,Condition,ICD10CM,,Condition,SNOMED,S,Maps to value,22
24,Condition,ICD10CM,,Measurement,ICD10CM,,Is a,48
25,Condition,ICD10CM,,Measurement,ICD10CM,,Subsumes,80
26,Condition,ICD10CM,,Measurement,SNOMED,S,Maps to,11
27,Condition,ICD10CM,,Meas Value,SNOMED,S,Maps to,7
28,Condition,ICD10CM,,Meas Value,SNOMED,S,Maps to value,12
29,Condition,ICD10CM,,Observation,ICD10CM,,Is a,8096
30,Condition,ICD10CM,,Observation,ICD10CM,,Subsumes,4580
31,Condition,ICD10CM,,Observation,OMOP Extension,S,Maps to,56
32,Condition,ICD10CM,,Observation,OMOP Extension,S,Maps to value,1
33,Condition,ICD10CM,,Observation,SNOMED,S,Maps to,3212
